timestamp,dataset,formula,gamma,tau_floor,FRR_bright,FAR_bright,FRR_medium,FAR_medium,FRR_dark,FAR_dark,EER_dark,AUC_dark,delta_FRR_dark,delta_FAR_dark,mcnemar_pvalue
2026-05-11 12:03:21,synthetic,fixed,,,0.018,0.008,0.19,0.018,0.604,0.088,0.272,0.789828,,,
2026-05-11 12:03:21,synthetic,bin,,,0.042,0.002,0.134,0.036,0.28,0.268,0.272,0.789828,-0.32399999999999995,0.18000000000000002,
2026-05-11 12:03:21,synthetic,linear,,,0.026,0.008,0.122,0.042,0.394,0.186,0.272,0.789828,-0.20999999999999996,0.098,
2026-05-11 12:03:21,synthetic,interaction,0.1,0.38,0.034,0.002,0.284,0.014,0.6,0.092,0.272,0.789828,-0.0040000000000000036,0.0040000000000000036,5.597619670017202e-06
2026-05-11 12:03:51,synthetic,fixed,,,0.018,0.008,0.19,0.018,0.604,0.088,0.272,0.789828,,,
2026-05-11 12:03:51,synthetic,bin,,,0.042,0.002,0.134,0.036,0.28,0.268,0.272,0.789828,-0.32399999999999995,0.18000000000000002,
2026-05-11 12:03:51,synthetic,linear,,,0.026,0.008,0.122,0.042,0.394,0.186,0.272,0.789828,-0.20999999999999996,0.098,
2026-05-11 12:03:51,synthetic,interaction,0.1,0.38,0.034,0.002,0.284,0.014,0.6,0.092,0.272,0.789828,-0.0040000000000000036,0.0040000000000000036,5.597619670017202e-06
2026-05-11 12:04:53,synthetic,fixed,,,0.018,0.008,0.19,0.018,0.604,0.088,0.272,0.789828,,,
2026-05-11 12:04:53,synthetic,bin,,,0.042,0.002,0.134,0.036,0.28,0.268,0.272,0.789828,-0.32399999999999995,0.18000000000000002,
2026-05-11 12:04:53,synthetic,linear,,,0.026,0.008,0.122,0.042,0.394,0.186,0.272,0.789828,-0.20999999999999996,0.098,
2026-05-11 12:04:53,synthetic,interaction,0.1,0.38,0.034,0.002,0.284,0.014,0.6,0.092,0.272,0.789828,-0.0040000000000000036,0.0040000000000000036,5.597619670017202e-06
2026-05-13 15:11:01,fixed,,0.0,0.026495726495726495,0.0,0.04065934065934066,0.09803921568627451,0.015082956259426848,0.03619909502262442,0.9808357732233165
2026-05-13 15:11:01,bin,,0.0,0.023931623931623933,0.0,0.041758241758241756,0.0392156862745098,0.03167420814479638,0.03619909502262442,0.9808357732233165
2026-05-13 15:11:01,linear,,0.0,0.026495726495726495,0.0,0.041758241758241756,0.058823529411764705,0.016591251885369532,0.03619909502262442,0.9808357732233165
2026-05-13 15:11:01,interaction,0.0,0.0,0.026495726495726495,0.0,0.03956043956043956,0.0784313725490196,0.015082956259426848,0.03619909502262442,0.9808357732233165
